"Date","Daily foreign exchange rates, 31 December 1979 ? 31 December 1998"
"1979-12-31",1.726
"1980-01-02",1.714
"1980-01-03",1.711
"1980-01-04",1.713
"1980-01-07",1.708
"1980-01-08",1.713
"1980-01-09",1.712
"1980-01-10",1.717
"1980-01-11",1.721
"1980-01-14",1.719
"1980-01-15",1.728
"1980-01-16",1.722
"1980-01-17",1.724
"1980-01-18",1.724
"1980-01-21",1.729
"1980-01-22",1.734
"1980-01-23",1.73
"1980-01-24",1.732
"1980-01-25",1.737
"1980-01-28",1.739
"1980-01-29",1.737
"1980-01-30",1.737
"1980-01-31",1.744
"1980-02-01",1.744
"1980-02-04",1.742
"1980-02-05",1.743
"1980-02-06",1.733
"1980-02-07",1.739
"1980-02-08",1.739
"1980-02-11",1.739
"1980-02-13",1.735
"1980-02-14",1.736
"1980-02-15",1.742
"1980-02-19",1.748
"1980-02-20",1.748
"1980-02-21",1.747
"1980-02-22",1.759
"1980-02-25",1.762
"1980-02-26",1.764
"1980-02-27",1.758
"1980-02-28",1.764
"1980-02-29",1.777
"1980-03-03",1.783
"1980-03-04",1.791
"1980-03-05",1.789
"1980-03-06",1.795
"1980-03-07",1.796
"1980-03-10",1.81
"1980-03-11",1.812
"1980-03-12",1.808
"1980-03-13",1.822
"1980-03-14",1.833
"1980-03-17",1.874
"1980-03-18",1.877
"1980-03-19",1.873
"1980-03-20",1.866
"1980-03-21",1.878
"1980-03-24",1.888
"1980-03-25",1.897
"1980-03-26",1.897
"1980-03-27",1.92
"1980-03-28",1.932
"1980-03-31",1.952
"1980-04-01",1.962
"1980-04-02",1.955
"1980-04-03",1.964
"1980-04-04",1.97
"1980-04-07",1.975
"1980-04-08",1.941
"1980-04-09",1.89
"1980-04-10",1.877
"1980-04-11",1.877
"1980-04-14",1.872
"1980-04-15",1.895
"1980-04-16",1.86
"1980-04-17",1.857
"1980-04-18",1.854
"1980-04-21",1.849
"1980-04-22",1.862
"1980-04-23",1.823
"1980-04-24",1.82
"1980-04-25",1.813
"1980-04-28",1.798
"1980-04-29",1.797
"1980-04-30",1.8
"1980-05-01",1.802
"1980-05-02",1.824
"1980-05-05",1.796
"1980-05-06",1.793
"1980-05-07",1.786
"1980-05-08",1.793
"1980-05-09",1.812
"1980-05-12",1.791
"1980-05-13",1.794
"1980-05-14",1.789
"1980-05-15",1.791
"1980-05-16",1.794
"1980-05-19",1.803
"1980-05-20",1.803
"1980-05-21",1.788
"1980-05-22",1.79
"1980-05-23",1.779
"1980-05-27",1.762
"1980-05-28",1.772
"1980-05-29",1.779
"1980-05-30",1.779
"1980-06-02",1.783
"1980-06-03",1.775
"1980-06-04",1.774
"1980-06-05",1.775
"1980-06-06",1.772
"1980-06-09",1.762
"1980-06-10",1.762
"1980-06-11",1.766
"1980-06-12",1.763
"1980-06-13",1.755
"1980-06-16",1.768
"1980-06-17",1.763
"1980-06-18",1.764
"1980-06-19",1.767
"1980-06-20",1.768
"1980-06-23",1.767
"1980-06-24",1.77
"1980-06-25",1.769
"1980-06-26",1.765
"1980-06-27",1.764
"1980-06-30",1.764
"1980-07-01",1.762
"1980-07-02",1.759
"1980-07-03",1.756
"1980-07-07",1.739
"1980-07-08",1.74
"1980-07-09",1.741
"1980-07-10",1.738
"1980-07-11",1.739
"1980-07-14",1.744
"1980-07-15",1.748
"1980-07-16",1.744
"1980-07-17",1.736
"1980-07-18",1.747
"1980-07-21",1.742
"1980-07-22",1.739
"1980-07-23",1.74
"1980-07-24",1.735
"1980-07-25",1.739
"1980-07-28",1.734
"1980-07-29",1.759
"1980-07-30",1.777
"1980-07-31",1.781
"1980-08-01",1.793
"1980-08-04",1.785
"1980-08-05",1.776
"1980-08-06",1.769
"1980-08-07",1.782
"1980-08-08",1.783
"1980-08-11",1.783
"1980-08-12",1.78
"1980-08-13",1.782
"1980-08-14",1.786
"1980-08-15",1.787
"1980-08-18",1.798
"1980-08-19",1.8
"1980-08-20",1.797
"1980-08-21",1.796
"1980-08-22",1.807
"1980-08-25",1.805
"1980-08-26",1.802
"1980-08-27",1.8
"1980-08-28",1.787
"1980-08-29",1.792
"1980-09-02",1.778
"1980-09-03",1.776
"1980-09-04",1.777
"1980-09-05",1.782
"1980-09-08",1.777
"1980-09-09",1.78
"1980-09-10",1.779
"1980-09-11",1.778
"1980-09-12",1.78
"1980-09-15",1.783
"1980-09-16",1.784
"1980-09-17",1.781
"1980-09-18",1.792
"1980-09-19",1.794
"1980-09-22",1.807
"1980-09-23",1.812
"1980-09-24",1.795
"1980-09-25",1.798
"1980-09-26",1.802
"1980-09-29",1.814
"1980-09-30",1.813
"1980-10-01",1.809
"1980-10-02",1.812
"1980-10-03",1.811
"1980-10-06",1.799
"1980-10-07",1.805
"1980-10-08",1.804
"1980-10-09",1.805
"1980-10-10",1.804
"1980-10-14",1.817
"1980-10-15",1.826
"1980-10-16",1.828
"1980-10-17",1.844
"1980-10-20",1.865
"1980-10-21",1.862
"1980-10-22",1.864
"1980-10-23",1.863
"1980-10-24",1.867
"1980-10-27",1.879
"1980-10-28",1.894
"1980-10-29",1.885
"1980-10-30",1.898
"1980-10-31",1.906
"1980-11-03",1.916
"1980-11-05",1.943
"1980-11-06",1.946
"1980-11-07",1.958
"1980-11-10",1.902
"1980-11-12",1.901
"1980-11-13",1.893
"1980-11-14",1.905
"1980-11-17",1.931
"1980-11-18",1.919
"1980-11-19",1.903
"1980-11-20",1.915
"1980-11-21",1.917
"1980-11-24",1.917
"1980-11-25",1.911
"1980-11-26",1.921
"1980-11-28",1.927
"1980-12-01",1.941
"1980-12-02",1.948
"1980-12-03",1.94
"1980-12-04",1.944
"1980-12-05",1.961
"1980-12-08",1.963
"1980-12-09",1.983
"1980-12-10",2.007
"1980-12-11",2.019
"1980-12-12",2.007
"1980-12-15",1.99
"1980-12-16",2.019
"1980-12-17",1.979
"1980-12-18",1.993
"1980-12-19",1.974
"1980-12-22",1.957
"1980-12-23",1.953
"1980-12-24",1.943
"1980-12-26",1.943
"1980-12-29",1.955
"1980-12-30",1.952
"1980-12-31",1.974
"1981-01-02",1.975
"1981-01-05",1.939
"1981-01-06",1.935
"1981-01-07",1.948
"1981-01-08",1.963
"1981-01-09",1.979
"1981-01-12",1.985
"1981-01-13",2.001
"1981-01-14",1.993
"1981-01-15",2.001
"1981-01-16",2.007
"1981-01-19",2.009
"1981-01-20",2
"1981-01-21",1.994
"1981-01-22",2.025
"1981-01-23",2.035
"1981-01-26",2.052
"1981-01-27",2.071
"1981-01-28",2.085
"1981-01-29",2.094
"1981-01-30",2.132
"1981-02-02",2.121
"1981-02-03",2.135
"1981-02-04",2.114
"1981-02-05",2.146
"1981-02-06",2.141
"1981-02-09",2.138
"1981-02-10",2.148
"1981-02-11",2.15
"1981-02-13",2.22
"1981-02-17",2.196
"1981-02-18",2.188
"1981-02-19",2.132
"1981-02-20",2.096
"1981-02-23",2.112
"1981-02-24",2.116
"1981-02-25",2.107
"1981-02-26",2.116
"1981-02-27",2.131
"1981-03-02",2.152
"1981-03-03",2.153
"1981-03-04",2.138
"1981-03-05",2.139
"1981-03-06",2.136
"1981-03-09",2.109
"1981-03-10",2.108
"1981-03-11",2.116
"1981-03-12",2.113
"1981-03-13",2.11
"1981-03-16",2.092
"1981-03-17",2.088
"1981-03-18",2.056
"1981-03-19",2.05
"1981-03-20",2.068
"1981-03-23",2.087
"1981-03-24",2.082
"1981-03-25",2.086
"1981-03-26",2.113
"1981-03-27",2.125
"1981-03-30",2.098
"1981-03-31",2.111
"1981-04-01",2.098
"1981-04-02",2.112
"1981-04-03",2.127
"1981-04-06",2.157
"1981-04-07",2.119
"1981-04-08",2.133
"1981-04-09",2.144
"1981-04-10",2.153
"1981-04-13",2.172
"1981-04-14",2.166
"1981-04-15",2.179
"1981-04-16",2.188
"1981-04-17",2.19
"1981-04-20",2.185
"1981-04-21",2.182
"1981-04-22",2.163
"1981-04-23",2.175
"1981-04-24",2.178
"1981-04-27",2.182
"1981-04-28",2.187
"1981-04-29",2.213
"1981-04-30",2.211
"1981-05-01",2.203
"1981-05-04",2.245
"1981-05-05",2.266
"1981-05-06",2.258
"1981-05-07",2.275
"1981-05-08",2.255
"1981-05-11",2.284
"1981-05-12",2.296
"1981-05-13",2.296
"1981-05-14",2.311
"1981-05-15",2.309
"1981-05-18",2.305
"1981-05-19",2.309
"1981-05-20",2.298
"1981-05-21",2.323
"1981-05-22",2.316
"1981-05-26",2.334
"1981-05-27",2.346
"1981-05-28",2.325
"1981-05-29",2.33
"1981-06-01",2.335
"1981-06-02",2.371
"1981-06-03",2.361
"1981-06-04",2.414
"1981-06-05",2.411
"1981-06-08",2.405
"1981-06-09",2.403
