"Month","Exchange Rate TWI. May 1970 ? Aug 1995."
"1970-05",100.0
"1970-06",99.6
"1970-07",99.4
"1970-08",99.1
"1970-09",99.2
"1970-10",99.2
"1970-11",99.2
"1970-12",99.3
"1971-01",100.0
"1971-02",100.0
"1971-03",100.0
"1971-04",100.0
"1971-05",99.8
"1971-06",99.8
"1971-07",99.7
"1971-08",99.3
"1971-09",99.8
"1971-10",99.4
"1971-11",99.3
"1971-12",99.8
"1972-01",98.8
"1972-02",98.1
"1972-03",97.8
"1972-04",97.9
"1972-05",97.9
"1972-06",98.5
"1972-07",98.6
"1972-08",98.5
"1972-09",98.9
"1972-10",99.8
"1972-11",99.4
"1972-12",106.5
"1973-01",105.9
"1973-02",110.7
"1973-03",110.5
"1973-04",110.5
"1973-05",109.1
"1973-06",107.9
"1973-07",107.9
"1973-08",108.9
"1973-09",113.9
"1973-10",113.8
"1973-11",117.3
"1973-12",118.1
"1974-01",121.3
"1974-02",119.0
"1974-03",115.5
"1974-04",116.0
"1974-05",117.0
"1974-06",117.3
"1974-07",118.8
"1974-08",120.5
"1974-09",105.3
"1974-10",105.3
"1974-11",105.3
"1974-12",105.3
"1975-01",105.3
"1975-02",105.3
"1975-03",105.3
"1975-04",105.3
"1975-05",105.3
"1975-06",105.3
"1975-07",105.3
"1975-08",105.3
"1975-09",105.3
"1975-10",105.3
"1975-11",105.3
"1975-12",105.3
"1976-01",105.3
"1976-02",105.3
"1976-03",105.3
"1976-04",105.3
"1976-05",105.3
"1976-06",105.3
"1976-07",105.3
"1976-08",105.3
"1976-09",105.3
"1976-10",105.3
"1976-11",86.9
"1976-12",92.2
"1977-01",92.2
"1977-02",92.5
"1977-03",92.5
"1977-04",92.5
"1977-05",92.5
"1977-06",92.5
"1977-07",92.5
"1977-08",91.5
"1977-09",91.5
"1977-10",90.9
"1977-11",90.0
"1977-12",89.4
"1978-01",89.2
"1978-02",88.5
"1978-03",87.5
"1978-04",87.5
"1978-05",87.3
