"Time","Internet traffic data (in bits) from an ISP. Aggregated traffic in the United Kingdom academic network backbone. It was collected between 19 November 2004, at 09:30 hours and 27 January 2005, at 11:11 hours. Hourly data"
"2004-11-19 09:30:00",64554.479
"2004-11-19 10:30:00",71138.749
"2004-11-19 11:30:00",77253.266
"2004-11-19 12:30:00",77340.78
"2004-11-19 13:30:00",79860.759
"2004-11-19 14:30:00",81103.408
"2004-11-19 15:30:00",75227.56
"2004-11-19 16:30:00",66933.324
"2004-11-19 17:30:00",59458.318
"2004-11-19 18:30:00",55028.968
"2004-11-19 19:30:00",52930.871
"2004-11-19 20:30:00",50795
"2004-11-19 21:30:00",47474.464
"2004-11-19 22:30:00",45387.152
"2004-11-19 23:30:00",48597.693
"2004-11-20 00:30:00",48590.282
"2004-11-20 01:30:00",45276.857
"2004-11-20 02:30:00",42160.261
"2004-11-20 03:30:00",38284.126
"2004-11-20 04:30:00",34675.496
"2004-11-20 05:30:00",32918.12
"2004-11-20 06:30:00",32352.33
"2004-11-20 07:30:00",31597
"2004-11-20 08:30:00",33643.656
"2004-11-20 09:30:00",37522.894
"2004-11-20 10:30:00",41738.583
"2004-11-20 11:30:00",44282.885
"2004-11-20 12:30:00",43803.965
"2004-11-20 13:30:00",46397.152
"2004-11-20 14:30:00",49180.181
"2004-11-20 15:30:00",50711.821
"2004-11-20 16:30:00",49087.589
"2004-11-20 17:30:00",47360.991
"2004-11-20 18:30:00",47937.245
"2004-11-20 19:30:00",47312.699
"2004-11-20 20:30:00",46389.855
"2004-11-20 21:30:00",44270.442
"2004-11-20 22:30:00",42606.649
"2004-11-20 23:30:00",40838.801
"2004-11-21 00:30:00",39294.285
"2004-11-21 01:30:00",37190.987
"2004-11-21 02:30:00",37542.926
"2004-11-21 03:30:00",35328.5
"2004-11-21 04:30:00",26617.164
"2004-11-21 05:30:00",22759.692
"2004-11-21 06:30:00",23044.778
"2004-11-21 07:30:00",22618.117
"2004-11-21 08:30:00",24095.587
"2004-11-21 09:30:00",26096
"2004-11-21 10:30:00",28981.928
"2004-11-21 11:30:00",33023
"2004-11-21 12:30:00",37690.514
"2004-11-21 13:30:00",42192.531
"2004-11-21 14:30:00",47105.179
"2004-11-21 15:30:00",52032.417
"2004-11-21 16:30:00",65306.717
"2004-11-21 17:30:00",70662
"2004-11-21 18:30:00",71307.992
"2004-11-21 19:30:00",72310.856
"2004-11-21 20:30:00",72280
"2004-11-21 21:30:00",70801
"2004-11-21 22:30:00",69972.813
"2004-11-21 23:30:00",67289.282
"2004-11-22 00:30:00",61491.512
"2004-11-22 01:30:00",55463.324
"2004-11-22 02:30:00",49658.133
"2004-11-22 03:30:00",45066.497
"2004-11-22 04:30:00",39938.616
"2004-11-22 05:30:00",37518.327
"2004-11-22 06:30:00",37667.338
"2004-11-22 07:30:00",41410.384
"2004-11-22 08:30:00",59453.567
"2004-11-22 09:30:00",85732.707
"2004-11-22 10:30:00",99485.714
"2004-11-22 11:30:00",109657.701
"2004-11-22 12:30:00",113513.696
"2004-11-22 13:30:00",122772.135
"2004-11-22 14:30:00",122664.463
"2004-11-22 15:30:00",120957.82
"2004-11-22 16:30:00",112710.782
"2004-11-22 17:30:00",102011.78
"2004-11-22 18:30:00",93463.702
"2004-11-22 19:30:00",89273.093
"2004-11-22 20:30:00",84388.795
"2004-11-22 21:30:00",81028.234
"2004-11-22 22:30:00",79151.756
"2004-11-22 23:30:00",75475.127
"2004-11-23 00:30:00",69695.122
"2004-11-23 01:30:00",61426.173
"2004-11-23 02:30:00",55148.967
"2004-11-23 03:30:00",49963.178
"2004-11-23 04:30:00",46288.304
"2004-11-23 05:30:00",43460.824
"2004-11-23 06:30:00",43872
"2004-11-23 07:30:00",46920.245
"2004-11-23 08:30:00",64800.154
"2004-11-23 09:30:00",90777.868
"2004-11-23 10:30:00",102356.462
"2004-11-23 11:30:00",113912.899
"2004-11-23 12:30:00",119409.565
"2004-11-23 13:30:00",125058.79
"2004-11-23 14:30:00",122651.869
"2004-11-23 15:30:00",119779.18
"2004-11-23 16:30:00",107937.658
"2004-11-23 17:30:00",96320.504
"2004-11-23 18:30:00",89288.673
"2004-11-23 19:30:00",84061.54
"2004-11-23 20:30:00",82382.836
"2004-11-23 21:30:00",78535.644
"2004-11-23 22:30:00",80190
"2004-11-23 23:30:00",77015.476
"2004-11-24 00:30:00",72030.651
