"Month","Passenger miles (Mil) flown domestic U.K. Jul. ?62-May ?72"
"1962-07",101.6
"1962-08",101.5
"1962-09",84.3
"1962-10",51.0
"1962-11",38.5
"1962-12",33.7
"1963-01",32.2
"1963-02",33.1
"1963-03",48.1
"1963-04",63.2
"1963-05",71.5
"1963-06",94.1
"1963-07",109.4
"1963-08",113.9
"1963-09",92.9
"1963-10",61.8
"1963-11",46.0
"1963-12",47.9
"1964-01",44.9
"1964-02",45.5
"1964-03",61.1
"1964-04",69.5
"1964-05",86.1
"1964-06",99.2
"1964-07",123.5
"1964-08",127.4
"1964-09",106.2
"1964-10",73.2
"1964-11",51.2
"1964-12",55.9
"1965-01",53.3
"1965-02",53.2
"1965-03",66.8
"1965-04",86.6
"1965-05",93.7
"1965-06",111.7
"1965-07",140.4
"1965-08",134.4
"1965-09",116.9
"1965-10",77.8
"1965-11",53.4
"1965-12",58.3
"1966-01",58.7
"1966-02",56.1
"1966-03",73.4
"1966-04",88.0
"1966-05",105.5
"1966-06",132.6
"1966-07",157.8
"1966-08",144.2
"1966-09",121.6
"1966-10",82.6
"1966-11",60.3
"1966-12",65.3
"1967-01",64.8
"1967-02",61.5
"1967-03",84.8
"1967-04",91.5
"1967-05",112.7
"1967-06",129.9
"1967-07",157.7
"1967-08",153.5
"1967-09",133.8
"1967-10",92.5
"1967-11",62.5
"1967-12",61.5
"1968-01",60.6
"1968-02",59.6
"1968-03",74.2
"1968-04",88.0
"1968-05",103.1
"1968-06",128.4
"1968-07",154.9
"1968-08",147.1
"1968-09",123.4
"1968-10",85.1
"1968-11",66.4
"1968-12",65.4
"1969-01",64.2
"1969-02",55.0
"1969-03",74.5
"1969-04",92.6
"1969-05",110.5
"1969-06",122.5
"1969-07",146.8
"1969-08",149.5
"1969-09",127.5
"1969-10",96.5
"1969-11",74.1
"1969-12",72.2
"1970-01",70.6
"1970-02",66.8
"1970-03",81.0
"1970-04",95.7
"1970-05",114.5
"1970-06",124.0
"1970-07",149.1
"1970-08",149.0
"1970-09",131.8
"1970-10",100.9
"1970-11",77.6
"1970-12",76.8
"1971-01",63.6
"1971-02",68.1
"1971-03",86.2
"1971-04",99.3
"1971-05",111.6
"1971-06",124.5
"1971-07",149.6
"1971-08",143.3
"1971-09",131.3
"1971-10",100.4
"1971-11",70.9
"1971-12",76.4
"1972-01",76.8
"1972-02",68.8
"1972-03",90.5
"1972-04",102.6
"1972-05",128.3

Passenger miles (Mil) flown domestic U.K. Jul. ?62-May ?72

