"Quarter","Quarterly seasonally adjusted West German Fixed investment Disposable income and Consumption expenditures: billions of DM. Mar 1960 ? Dec 1982"
"1960Q1",415
"1960Q2",421
"1960Q3",434
"1960Q4",448
"1961Q1",459
"1961Q2",458
"1961Q3",479
"1961Q4",487
"1962Q1",497
"1962Q2",510
"1962Q3",516
"1962Q4",525
"1963Q1",529
"1963Q2",538
"1963Q3",546
"1963Q4",555
"1964Q1",574
"1964Q2",574
"1964Q3",586
"1964Q4",602
"1965Q1",617
"1965Q2",639
"1965Q3",653
"1965Q4",668
"1966Q1",679
"1966Q2",686
"1966Q3",697
"1966Q4",688
"1967Q1",704
"1967Q2",699
"1967Q3",709
"1967Q4",715
"1968Q1",724
"1968Q2",746
"1968Q3",758
"1968Q4",779
"1969Q1",1774
"1969Q2",1807
"1969Q3",1831
"1969Q4",1842
"1970Q1",1890
"1970Q2",1958
"1970Q3",1948
"1970Q4",1994
"1971Q1",2061
"1971Q2",2056
"1971Q3",2102
"1971Q4",2121
"1972Q1",798
"1972Q2",816
"1972Q3",837
"1972Q4",858
"1973Q1",881
"1973Q2",905
"1973Q3",934
"1973Q4",968
"1974Q1",983
"1974Q2",1013
"1974Q3",1034
"1974Q4",1064
"1975Q1",1101
"1975Q2",1102
"1975Q3",1145
"1975Q4",1173
"1976Q1",1216
"1976Q2",1229
"1976Q3",1242
"1976Q4",1267
"1977Q1",1295
"1977Q2",1317
"1977Q3",1355
"1977Q4",1371
"1978Q1",1402
"1978Q2",1452
"1978Q3",1485
"1978Q4",1516
"1979Q1",1549
"1979Q2",1567
"1979Q3",1588
"1979Q4",1631
"1980Q1",1650
"1980Q2",1685
"1980Q3",1722
"1980Q4",1752
"1981Q1",2145
"1981Q2",2164
"1981Q3",2206
"1981Q4",2225
"1982Q1",2235
"1982Q2",2237
"1982Q3",2250
"1982Q4",2271

Quarterly seasonally adjusted West German Fixed investment Disposable income and Consumption expenditures: billions of DM. Mar 1960 ? Dec 1982

