"Quarter","Quarterly S&P 500 index, 1900-1996"
"1900Q1",1.199
"1900Q2",1.300
"1900Q3",1.348
"1900Q4",1.455
"1901Q1",1.552
"1901Q2",1.726
"1901Q3",1.694
"1901Q4",1.682
"1902Q1",1.648
"1902Q2",1.698
"1902Q3",1.737
"1902Q4",1.621
"1903Q1",1.605
"1903Q2",1.430
"1903Q3",1.262
"1903Q4",1.204
"1904Q1",1.233
"1904Q2",1.228
"1904Q3",1.313
"1904Q4",1.498
"1905Q1",1.622
"1905Q2",1.601
"1905Q3",1.671
"1905Q4",1.720
"1906Q1",1.775
"1906Q2",1.688
"1906Q3",1.736
"1906Q4",1.784
"1907Q1",1.565
"1907Q2",1.396
"1907Q3",1.321
"1907Q4",1.107
"1908Q1",1.195
"1908Q2",1.318
"1908Q3",1.420
"1908Q4",1.518
"1909Q1",1.549
"1909Q2",1.657
"1909Q3",1.739
"1909Q4",1.755
"1910Q1",1.633
"1910Q2",1.551
"1910Q3",1.437
"1910Q4",1.500
"1911Q1",1.513
"1911Q2",1.529
"1911Q3",1.471
"1911Q4",1.435
"1912Q1",1.409
"1912Q2",1.468
"1912Q3",1.489
"1912Q4",1.468
"1913Q1",1.335
"1913Q2",1.251
"1913Q3",1.233
"1913Q4",1.186
"1914Q1",1.204
"1914Q2",1.164
"1914Q3",0.365
"1914Q4",0.347
"1915Q1",1.046
"1915Q2",1.120
"1915Q3",1.157
"1915Q4",1.293
"1916Q1",1.181
"1916Q2",1.177
"1916Q3",1.194
"1916Q4",1.264
"1917Q1",1.122
"1917Q2",1.041
"1917Q3",0.937
"1917Q4",0.760
"1918Q1",0.738
"1918Q2",0.712
"1918Q3",0.698
"1918Q4",0.705
"1919Q1",0.677
"1919Q2",0.726
"1919Q3",0.720
"1919Q4",0.699
"1920Q1",0.622
"1920Q2",0.573
"1920Q3",0.523
"1920Q4",0.477
"1921Q1",0.464
"1921Q2",0.464
"1921Q3",0.453
"1921Q4",0.500
"1922Q1",0.540
"1922Q2",0.612
"1922Q3",0.649
"1922Q4",0.669
"1923Q1",0.682
"1923Q2",0.639
"1923Q3",0.590
"1923Q4",0.598
"1924Q1",0.633
"1924Q2",0.611
"1924Q3",0.656
"1924Q4",0.684
"1925Q1",0.741
"1925Q2",0.734
"1925Q3",0.776
"1925Q4",0.831
"1926Q1",0.837
"1926Q2",0.787
"1926Q3",0.869
"1926Q4",0.878
"1927Q1",0.906
"1927Q2",0.970
"1927Q3",1.068
"1927Q4",1.136
"1928Q1",1.177
"1928Q2",1.294
"1928Q3",1.331
"1928Q4",1.500
"1929Q1",1.659
"1929Q2",1.692
"1929Q3",1.965
"1929Q4",1.523
"1930Q1",1.500
"1930Q2",1.551
"1930Q3",1.373
