"Month","Shartes traded in oil and mining stock, TSE"
"1-01",67875
"1-02",65118
"1-03",60295
"1-04",57477
"1-05",64714
"1-06",75223
"1-07",52742
"1-08",42873
"1-09",46263
"1-10",53041
"1-11",60498
"1-12",69614
"2-01",96096
"2-02",65181
"2-03",77536
"2-04",249062
"2-05",96749
"2-06",93628
"2-07",148060
"2-08",63695
"2-09",65564
"2-10",62357
"2-11",103431
"2-12",78766
"3-01",72251
"3-02",71654
"3-03",91189
"3-04",81469
"3-05",70153
"3-06",53288
"3-07",37690
"3-08",81308
"3-09",51545
"3-10",51327
"3-11",79400
"3-12",83153
"4-01",155379
"4-02",101717
"4-03",91146
"4-04",93891
"4-05",63941
"4-06",54375
"4-07",50195
"4-08",52946
"4-09",66494
"4-10",54475
"4-11",50111
"4-12",42335
"5-01",56699
"5-02",55025
"5-03",49626
"5-04",48653
"5-05",39988
"5-06",51743
"5-07",65756
"5-08",99402
"5-09",67872
"5-10",55672
"5-11",53244
"5-12",45152
"6-01",62896
"6-02",46469
"6-03",53502
"6-04",50250
"6-05",61558
"6-06",53165
"6-07",52322
"6-08",49069
"6-09",47127
"6-10",59712
"6-11",57087
"6-12",66616
"7-01",97536
"7-02",72348
"7-03",53113
"7-04",50799
"7-05",74629
"7-06",67571
"7-07",31960
"7-08",23659
"7-09",24797
"7-10",36058
"7-11",39381
"7-12",27698
"8-01",42659
"8-02",23719
"8-03",24712
"8-04",28358
"8-05",25247
"8-06",23741
"8-07",18939
"8-08",24475
"8-09",31801
"8-10",34141
"8-11",28131
"8-12",23783
"9-01",25522
"9-02",28551
"9-03",37135
"9-04",36282
"9-05",24631
"9-06",28680
"9-07",25100
"9-08",18295
"9-09",22892
"9-10",17801
"9-11",16418
"9-12",25127
"10-01",29326
"10-02",32376
"10-03",32140
"10-04",25660
"10-05",22472
"10-06",26010
"10-07",18371
"10-08",24951
"10-09",19413
"10-10",24775
"10-11",37835
"10-12",28245
"11-01",35886
"11-02",30963
"11-03",29777
"11-04",22364
"11-05",32808
"11-06",24909
"11-07",28271
"11-08",24261
"11-09",26249
"11-10",37404
"11-11",32973
"11-12",24702
"12-01",53350
"12-02",59535
"12-03",34957
"12-04",28747
"12-05",23543
"12-06",17385
"12-07",16772
"12-08",16165
"12-09",17105
"12-10",14793
"12-11",15643
"12-12",20854
"13-01",24130
"13-02",23792
"13-03",18501
"13-04",19212
"13-05",18208
"13-06",20531
"13-07",20919
"13-08",11268
"13-09",14162
"13-10",12503
"13-11",14536
"13-12",17280
"14-01",23364
"14-02",27743
"14-03",26480
"14-04",25226
"14-05",27970
"14-06",25246
"14-07",16732
"14-08",13944
"14-09",17273
"14-10",13992
"14-11",17674
"14-12",20245
"15-01",20185
"15-02",17590
"15-03",24081
"15-04",16050
"15-05",16907
"15-06",19687
"15-07",22545
"15-08",20511
"15-09",26088
"15-10",44627
"15-11",52770
"15-12",64699
"16-01",37788
"16-02",31203
"16-03",29814
"16-04",38677
"16-05",36009
"16-06",34829
"16-07",43649
"16-08",47617
"16-09",44298
"16-10",44858
"16-11",39391
"16-12",33819
"17-01",51787
"17-02",41874
"17-03",49716
"17-04",37581
"17-05",37219
"17-06",65377
"17-07",53128
"17-08",77232
"17-09",90613
"17-10",98231
"17-11",52277
"17-12",65902
"18-01",212320
"18-02",152502
"18-03",112326
"18-04",41425
"18-05",40543
"18-06",55143
"18-07",74920
"18-08",61160
"18-09",89890
"18-10",75479
"18-11",110178
"18-12",78120
"19-01",69637
"19-02",48401
"19-03",49334
"19-04",52465
"19-05",48655
"19-06",48131
"19-07",76892
"19-08",40117
"19-09",58569
"19-10",37182
"19-11",46107
"19-12",62384
"20-01",34593
"20-02",32064
"20-03",39727
"20-04",31799
"20-05",26944
"20-06",33557
"20-07",30136
"20-08",48359
"20-09",63487
"20-10",83571
"20-11",77864
"20-12",71668
"21-01",137906
"21-02",80472
"21-03",62596
"21-04",52954
"21-05",103014
"21-06",79738
"21-07",89293
"21-08",69521
"21-09",77319
"21-10",64378
"21-11",62156
"21-12",61769
"22-01",60340
"22-02",73487
"22-03",69659
"22-04",53367
"22-05",58842
"22-06",54101
"22-07",53547
"22-08",56190
"22-09",50817
"22-10",57953
"22-11",79221
"22-12",55967
"23-01",59429
"23-02",55721
"23-03",79533
"23-04",92423
"23-05",78144
"23-06",64983
"23-07",78603
"23-08",100879
"23-09",89877
"23-10",84598
"23-11",98210
"23-12",109791
"24-01",147887
"24-02",118578
"24-03",256784
"24-04",140218
"24-05",96477
"24-06",78939
"24-07",105484
"24-08",116632
"24-09",158149
"24-10",121532
"24-11",105469
"24-12",104901
"25-01",190502
"25-02",169683
"25-03",290887
"25-04",351845
"25-05",239384
"25-06",190026
"25-07",242977
"25-08",238705
"25-09",250744
"25-10",300301
"25-11",351845
"25-12",150471
"26-01",152392
"26-02",139039
"26-03",152438
"26-04",160284
"26-05",128375
"26-06",170441
"26-07",118055
"26-08",121349
"26-09",133989
"26-10",98418
"26-11",115459
"26-12",128861
"27-01",167497
"27-02",137556
"27-03",140933
"27-04",117921
"27-05",160821
"27-06",222620
"27-07",197038
"27-08",233784
"27-09",190760
"27-10",216099
"27-11",310039
"27-12",183780
"28-01",235235
"28-02",200757
"28-03",177864
"28-04",121784
"28-05",189945
"28-06",159100
"28-07",155842
"28-08",258460
"28-09",148283
"28-10",150797
"28-11",157554
"28-12",138272
"29-01",144687
"29-02",158089
"29-03",162251
"29-04",159966
"29-05",141491
"29-06",163731
"29-07",136194
"29-08",136188
"29-09",127478
"29-10",159870
"29-11",180886
"29-12",153443
"30-01",206849
"30-02",174662
"30-03",191258
"30-04",167982
"30-05",187652
"30-06",198467
"30-07",191548
"30-08",159510

Shartes traded in oil and mining stock, TSE

