"Week","Weekly closings of the Dow-Jones industrial average, July 1971 ? August 1974"
"1971-W27",890.19
"1971-W28",901.80
"1971-W29",888.51
"1971-W30",887.78
"1971-W31",858.43
"1971-W32",850.61
"1971-W33",856.02
"1971-W34",880.91
"1971-W35",908.15
"1971-W36",912.75
"1971-W37",911.00
"1971-W38",908.22
"1971-W39",889.31
"1971-W40",893.98
"1971-W41",893.91
"1971-W42",874.85
"1971-W43",852.37
"1971-W44",839.00
"1971-W45",840.39
"1971-W46",812.94
"1971-W47",810.67
"1971-W48",816.55
"1971-W49",859.59
"1971-W50",856.75
"1971-W51",873.80
"1971-W52",881.17
"1972-W01",890.20
"1972-W02",910.37
"1972-W03",906.68
"1972-W04",907.44
"1972-W05",906.38
"1972-W06",906.68
"1972-W07",917.59
"1972-W08",917.52
"1972-W09",922.79
"1972-W10",942.43
"1972-W11",939.87
"1972-W12",942.88
"1972-W13",942.28
"1972-W14",940.70
"1972-W15",962.60
"1972-W16",967.72
"1972-W17",963.80
"1972-W18",954.17
"1972-W19",941.23
"1972-W20",941.83
"1972-W21",961.54
"1972-W22",971.25
"1972-W23",961.39
"1972-W24",934.45
"1972-W25",945.06
"1972-W26",944.69
"1972-W27",929.03
"1972-W28",938.06
"1972-W29",922.26
"1972-W30",920.45
"1972-W31",926.70
"1972-W32",951.76
"1972-W33",964.18
"1972-W34",965.83
"1972-W35",959.36
"1972-W36",970.05
"1972-W37",961.24
"1972-W38",947.23
"1972-W39",943.03
"1972-W40",953.27
"1972-W41",945.36
"1972-W42",930.46
"1972-W43",942.81
"1972-W44",946.42
"1972-W45",984.12
"1972-W46",995.26
"1972-W47",1005.57
"1972-W48",1025.21
"1972-W49",1023.43
"1972-W50",1033.19
"1972-W51",1027.24
"1972-W52",1004.21
"1973-W01",1020.02
"1973-W02",1047.49
"1973-W03",1039.36
"1973-W04",1026.19
"1973-W05",1003.54
"1973-W06",980.81
"1973-W07",979.46
"1973-W08",979.23
"1973-W09",959.89
"1973-W10",961.32
"1973-W11",972.23
"1973-W12",963.05
"1973-W13",922.71
"1973-W14",951.01
"1973-W15",931.07
"1973-W16",959.36
"1973-W17",963.20
"1973-W18",922.19
"1973-W19",953.87
"1973-W20",927.89
"1973-W21",895.17
"1973-W22",930.84
"1973-W23",893.96
"1973-W24",920.00
"1973-W25",888.55
"1973-W26",879.82
"1973-W27",891.71
"1973-W28",870.11
"1973-W29",885.99
"1973-W30",910.90
"1973-W31",936.71
"1973-W32",908.87
"1973-W33",852.38
"1973-W34",871.84
"1973-W35",863.49
"1973-W36",887.57
"1973-W37",898.63
"1973-W38",886.36
"1973-W39",927.90
"1973-W40",947.10
"1973-W41",971.25
"1973-W42",978.63
"1973-W43",963.73
"1973-W44",987.06
"1973-W45",935.28
"1973-W46",908.42
"1973-W47",891.33
"1973-W48",854.00
"1973-W49",822.25
"1973-W50",838.05
"1973-W51",815.65
"1973-W52",818.73
"1974-W01",848.02
"1974-W02",880.23
"1974-W03",841.48
"1974-W04",855.47
"1974-W05",859.39
"1974-W06",843.94
"1974-W07",820.40
"1974-W08",820.32
"1974-W09",855.99
"1974-W10",851.92
"1974-W11",878.05
"1974-W12",887.83
"1974-W13",878.13
"1974-W14",846.68
"1974-W15",847.54
"1974-W16",844.81
"1974-W17",859.90
"1974-W18",834.64
"1974-W19",845.90
"1974-W20",850.44
"1974-W21",818.84
"1974-W22",816.65
"1974-W23",802.17
"1974-W24",853.72
"1974-W25",843.09
"1974-W26",815.39
"1974-W27",802.41
"1974-W28",791.77
"1974-W29",787.23
"1974-W30",787.94
"1974-W31",784.57
"1974-W32",752.58

Weekly closings of the Dow-Jones industrial average, July 1971 ? August 1974

