"timestamps","value","anomaly","changepoint","trend","noise","seasonality1","seasonality2","seasonality3"
1416722400,22.668061348503,0,0,1,21.668061348503,0,0,0
1416726000,385.114829544255,0,0,2,-41.173703462388,291.9,127.183678763379,5.20485424326453
1416729600,619.068495350204,0,0,3,-145.619564406381,505.585630729355,245.7,10.4024290272303
1416733200,958.944170300154,0,0,4,8.08644295150383,583.8,347.472272275069,15.5854550735805
1416736800,1005.01817290898,0,0,5,48.1209753082325,505.585630729355,425.564883419673,20.7466834517235
1416740400,903.211199035684,0,0,6,104.776352280158,291.9,474.655951038448,25.8788957170777
1416744000,531.197054282379,0,0,7,1.82214027566005,7.14948801342225e-14,491.4,30.974914006719
1416747600,32.1951420266977,0,0,8,-194.588420090022,-291.9,474.655951038448,36.0276110782709
1416751200,-51.9535353770865,0,0,9,-21.9627083454024,-505.585630729355,425.564883419673,41.0299202779979
1416754800,-247.993467594577,0,0,10,-67.6405852938059,-583.8,347.472272275069,45.9748454241592
1416758400,-246.317363753831,0,0,11,-48.2872036162779,-505.585630729355,245.7,50.8554705918022
1416762000,-162.540478849334,0,0,12,-65.4891273980202,-291.9,127.183678763379,55.6649697853079
1416765600,17.462675247973,0,0,13,-55.933941237191,-1.42989760268445e-13,6.01791437101009e-14,60.3966164851641
1416769200,382.828516675922,0,0,14,139.068402383691,291.9,-127.183678763379,65.0437930556102
1416772800,349.056431530928,0,0,15,4.57080080157263,505.585630729355,-245.7,69.6
1416776400,410.273647010302,0,0,16,83.8870542344369,583.8,-347.472272275069,74.0588650509348
1416780000,117.932136408543,0,0,17,-57.5027629835953,505.585630729356,-425.564883419673,78.4141520824562
1416783600,-93.6762445842194,0,0,18,-11.5800633776025,291.9,-474.655951038448,82.6597698318314
1416787200,-398.958368809121,0,0,19,-13.3481492278572,2.14484640402667e-13,-491.4,86.7897804187357
1416790800,-607.313292918535,0,0,20,48.4442504699985,-291.899999999999,-474.655951038448,90.7984076499144
1416794400,-806.692328376564,0,0,21,8.77814067475237,-505.585630729355,-425.564883419673,94.680045097712
1416798000,-736.454128805514,0,0,22,74.388879528388,-583.8,-347.47227227507,98.4292639411674
1416801600,-698.483267687682,0,0,23,-72.2384575170378,-505.585630729356,-245.7,102.040820558712
1416805200,-277.06864462282,0,0,24,12.5053702787125,-291.900000000001,-127.183678763379,105.509663861847
1416808800,128.29546434926,0,0,25,-5.53547801028932,-2.8597952053689e-13,-1.20358287420202e-13,108.83094235955
1416812400,539.330138361122,0,0,26,-17.7535513457773,291.9,127.183678763379,112.00001094352
1416816000,779.655433113188,0,0,27,-113.642635000954,505.585630729355,245.7,115.012437384786
1416819600,994.837076254227,0,0,28,-82.2992045534191,583.8,347.472272275069,117.864008532577
1416823200,1187.69112409633,0,0,29,106.989873740512,505.585630729356,425.564883419673,120.550736206794
1416826800,892.126532632743,0,0,30,-27.4982811815467,291.9,474.655951038448,123.068862775842
1416830400,683.741303108812,0,0,31,35.9264366967942,1.39451152351298e-12,491.4,125.414866412017
1416834000,328.480524536447,0,0,32,-13.8608925191024,-291.899999999999,474.655951038448,127.585466017101
1416837600,-58.0774724803583,0,0,33,-140.63435098195,-505.585630729355,425.564883419673,129.577625811273
1416841200,-152.848950145182,0,0,34,-81.909781999176,-583.8,347.472272275069,131.388559578925
1416844800,-81.841705509132,0,0,35,10.0281906547924,-505.585630729355,245.7,133.015734565431
1416848400,-45.5139885363165,0,0,36,-51.2545423191335,-291.9,127.183678763379,134.456875019438
1416852000,225.59066385965,0,0,37,52.8806984839405,-4.28969280805335e-13,1.80537431130303e-13,135.70996537571
1416855600,330.575455631999,0,0,38,-8.9141186786959,291.899999999999,-127.183678763378,136.773253074074
1416859200,380.102472424729,0,0,39,-56.4284093151637,505.585630729355,-245.7,137.645251010538
1416862800,463.830070712651,0,0,40,49.1776033705806,583.8,-347.472272275069,138.324739617139
1416866400,281.112071569213,0,0,41,21.2805556919109,505.585630729355,-425.564883419673,138.81076856762
1416870000,98.5175285829935,0,0,42,100.170821514894,291.900000000002,-474.655951038448,139.102658106545
1416873600,-275.397284651516,0,0,43,33.8027153484831,5.00464160939557e-13,-491.4,139.2
1416877200,-518.104485929779,0,0,44,65.3488070021234,-291.899999999999,-474.655951038448,139.102658106545
1416880800,-884.300076254982,0,0,45,-136.960330673574,-505.585630729355,-425.564883419673,138.81076856762
1416884400,-754.042820013877,0,0,46,-7.09528735594688,-583.8,-347.472272275069,138.324739617139
1416888000,-473.806614765412,0,0,47,92.833764953407,-505.585630729356,-245.700000000001,137.645251010538
1416891600,-249.126537144341,0,0,48,-14.8161114550358,-291.9,-127.183678763379,136.773253074074
1416895200,175.787189291123,0,0,49,-8.92277608458557,-5.7195904107378e-13,-2.40716574840404e-13,135.70996537571
1416898800,609.533217660819,0,0,50,5.99266387800349,291.899999999999,127.183678763378,134.456875019438
1416902400,864.413965683842,0,0,51,-70.8873996109446,505.585630729356,245.7,133.015734565431
1416906000,1072.63323186008,0,0,52,-42.0275999939176,583.8,347.472272275069,131.388559578925
1416909600,1071.25817381048,0,0,53,-42.4699661498254,505.585630729355,425.564883419673,129.577625811273
1416913200,1001.90164262606,0,0,54,53.7602255705126,291.9,474.655951038448,127.585466017101
1416916800,570.339536770226,0,0,55,-101.475329641792,6.43453921208002e-13,491.4,125.414866412017
1416920400,320.230583063935,0,0,56,-41.5942307503538,-291.900000000001,474.655951038448,123.068862775842
1416924000,160.854735422054,0,0,57,63.324746524941,-505.585630729355,425.564883419673,120.550736206794
1416927600,13.7612359164523,0,0,58,74.2249551088052,-583.8,347.47227227507,117.864008532577
1416931200,-101.478117123201,0,0,59,-15.6049237786324,-505.585630729355,245.7,115.012437384786
1416934800,60.8406942182328,0,0,60,53.557004511334,-291.9,127.183678763379,112.00001094352
1416938400,91.4265304044044,0,0,61,-78.4044119551437,-2.78902304702596e-12,1.17379746943179e-12,108.83094235955
1416942000,285.696218510891,0,0,62,-46.5297665875772,291.899999999999,-127.183678763378,105.509663861847
1416945600,391.319483184595,0,0,63,-33.6069681034718,505.585630729354,-245.699999999999,102.040820558712
1416949200,385.186519335818,0,0,64,-13.5704723302797,583.8,-347.47227227507,98.4292639411674
1416952800,234.790537700802,0,0,65,-4.9102547065932,505.585630729356,-425.564883419673,94.680045097712
1416956400,-14.3888553027769,0,0,66,11.5686880857563,291.9,-474.655951038448,90.7984076499145
1416960000,-337.581179753938,0,0,67,0.0290398273271656,-1.28763056420728e-12,-491.4,86.7897804187357
1416963600,-590.781920632483,0,0,68,25.1142605741329,-291.899999999999,-474.655951038448,82.6597698318314
1416967200,-787.830086385527,0,0,69,-4.09372431895474,-505.585630729356,-425.564883419673,78.4141520824562
1416970800,-740.965512224476,0,0,70,46.247894999659,-583.8,-347.47227227507,74.0588650509349
1416974400,-634.934672341626,0,0,71,-24.2490416122711,-505.585630729355,-245.7,69.6
1416978000,-342.335360935614,0,0,72,-60.295475227848,-291.899999999999,-127.183678763378,65.0437930556102
1416981600,160.217180576771,0,0,73,26.8205640916085,-8.5793856161067e-13,-3.61074862260606e-13,60.3966164851641
1416985200,646.406019654871,0,0,74,97.6573711061881,291.899999999997,127.183678763377,55.664969785308
1416988800,1013.30194704779,0,0,75,136.160845726638,505.585630729354,245.699999999999,50.8554705918022
1416992400,1054.04273050734,0,0,76,0.795612808112008,583.8,347.472272275069,45.9748454241593
1416996000,1013.61684770043,0,0,77,-35.563586726599,505.585630729356,425.564883419673,41.0299202779979
1416999600,945.658523797402,0,0,78,65.0749616806825,291.9,474.655951038448,36.0276110782709
1417003200,597.652511054448,0,0,79,-3.72240295227341,3.00350768742862e-12,491.4,30.974914006719
1417006800,183.992408978353,0,0,80,-104.642437777174,-291.899999999999,474.655951038448,25.8788957170777
1417010400,19.01111758393,0,0,81,-2.71481855811101,-505.585630729356,425.564883419673,20.7466834517235
1417014000,-121.263906121442,0,0,82,17.4783665299072,-583.8,347.47227227507,15.5854550735805
1417017600,-109.794450127757,0,0,83,56.6887515743689,-505.585630729357,245.700000000002,10.4024290272303
1417021200,35.9633840252219,0,0,84,111.474851018578,-291.899999999999,127.183678763378,5.2048542432645
1417024800,29.5957685060551,0,0,85,-55.4042314939444,-1.00092832187911e-12,4.21254005970707e-13,1.70470834441312e-14
